Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,441.569885,444.374390,440.847595,442.282227,442.282227,3462400
2013-07-02,443.437897,443.836395,436.997040,439.507629,439.507629,3797000
2013-07-03,438.307129,442.924805,437.609741,441.559937,441.559937,2101700
2013-07-05,443.343231,446.033173,442.013214,445.076752,445.076752,3416500
2013-07-08,447.926056,451.442871,446.865051,450.855072,450.855072,3953700
2013-07-09,453.799042,454.770416,447.313354,450.929810,450.929810,3973500
2013-07-10,450.038147,453.868774,448.508881,451.303406,451.303406,3429500
2013-07-11,454.795319,458.685730,452.563690,458.401794,458.401794,5187700
2013-07-12,458.282257,459.776642,455.911133,459.776642,459.776642,5155600
2013-07-15,460.424225,462.267303,456.469055,460.618500,460.618500,3935600
2013-07-16,461.833923,462.252350,455.243622,458.087982,458.087982,3980700
2013-07-17,458.780365,461.699432,456.439148,457.559967,457.559967,3023400
2013-07-18,457.779144,458.282257,449.908630,453.639648,453.639648,7296100
2013-07-19,441.649597,449.789093,436.170135,446.625946,446.625946,14773700
2013-07-22,449.315857,454.630920,446.825195,453.649597,453.649597,5828100
2013-07-23,453.649597,454.795319,448.105377,450.212494,450.212494,4106600
2013-07-24,451.936035,453.450348,448.668274,449.764160,449.764160,4172500
2013-07-25,445.266022,446.750458,441.385590,442.192566,442.192566,6024600
2013-07-26,441.838867,443.333282,439.353210,441.021942,441.021942,3568600
2013-07-29,440.797791,445.739258,438.800262,439.487701,439.487701,3797800
2013-07-30,441.076721,446.132782,438.790314,443.796539,443.796539,3524300
2013-07-31,444.827667,446.581116,441.435394,442.217468,442.217468,4363200
2013-08-01,445.828918,450.586090,445.828918,450.421722,450.421722,4292700
2013-08-02,450.033173,451.806519,448.728058,451.592316,451.592316,3440600
2013-08-05,451.004517,451.069275,447.921082,450.810242,450.810242,2629100
2013-08-06,450.655823,453.156464,446.192566,446.610992,446.610992,3023400
2013-08-07,445.848846,447.547485,442.884949,443.662048,443.662048,2768600
2013-08-08,446.072998,446.247345,440.992065,444.663300,444.663300,2987000
2013-08-09,443.617218,446.087952,443.338257,443.542480,443.542480,2657200
2013-08-12,441.794037,441.843872,439.178864,441.101654,441.101654,2764200
2013-08-13,441.759186,442.591064,436.464020,438.979584,438.979584,2850200
2013-08-14,437.544983,438.471497,431.960907,433.280945,433.280945,4179900
2013-08-15,430.605988,430.845093,427.398010,428.224915,428.224915,3752300
2013-08-16,429.031891,429.609711,426.670746,426.855042,426.855042,3362700
2013-08-19,427.253540,434.371857,427.124023,431.208710,431.208710,3635300
2013-08-20,432.553680,434.426666,430.157654,431.094147,431.094147,2475100
2013-08-21,433.699402,436.817688,431.632141,433.041840,433.041840,3527700
2013-08-22,434.720551,435.741730,433.500122,435.223663,435.223663,1746200
2013-08-23,437.275970,437.360657,433.251068,433.480225,433.480225,2162200
2013-08-26,433.375610,435.816467,431.407990,431.577332,431.577332,2112800
2013-08-27,428.204987,430.252319,422.366852,423.487671,423.487671,3481100
2013-08-28,423.537476,426.107849,422.302094,422.690643,422.690643,2669700
2013-08-29,422.949677,428.583557,422.710571,426.117798,426.117798,2968000
2013-08-30,426.282196,427.417938,421.201233,421.868744,421.868744,3737100
2013-09-03,425.584808,431.477722,425.380554,428.583557,428.583557,4110400
2013-09-04,428.568634,435.119080,425.988281,434.187561,434.187561,4097600
2013-09-05,435.119080,438.297150,434.177582,438.137756,438.137756,2592100
2013-09-06,439.572388,440.239868,435.238617,438.147705,438.147705,3134800
2013-09-09,440.214966,443.213715,439.562408,442.366913,442.366913,2478300
2013-09-10,443.348236,444.334534,440.349457,442.675751,442.675751,2584700
2013-09-11,442.610992,446.810242,441.385590,446.421692,446.421692,3233200
2013-09-12,447.024445,447.273499,443.343231,444.862549,444.862549,2199100
2013-09-13,445.579865,446.167664,440.767883,442.875000,442.875000,2660600
2013-09-16,446.426697,446.825195,440.782837,442.222443,442.222443,2682900
2013-09-17,442.048096,442.536255,438.855072,441.400513,441.400513,2528200
2013-09-18,441.520081,450.297180,439.886200,449.973389,449.973389,3883800
2013-09-19,451.303406,451.303406,446.028168,447.517609,447.517609,3207600
2013-09-20,447.517609,450.376892,446.137756,449.868774,449.868774,8723000
2013-09-23,446.401764,449.111633,440.947235,441.594788,441.594788,3568000
2013-09-24,441.594788,443.388062,439.054321,441.764160,441.764160,2984600
2013-09-25,441.619690,441.619690,436.165161,436.977112,436.977112,3310200
2013-09-26,437.510101,439.726807,435.866272,437.445343,437.445343,2529200
2013-09-27,435.776611,437.121552,434.028168,436.558685,436.558685,2527000
2013-09-30,432.917328,438.775360,432.533752,436.319580,436.319580,3457600
